,Company,Amount
0,INDIACEM.NS,30014784
0,INOXLEISUR.NS,54780
0,CERA.NS,2990460
0,GSFC.NS,3409986
0,JMFINANCIL.NS,463488
0,EQUITASBNK.NS,1403528
0,SUNTECK.NS,0
0,ASTRAZEN.NS,6660
0,RTNINDIA.NS,684388
0,PNBHOUSING.NS,898890
0,RITES.NS,413820
0,PSB.NS,187320
0,CHALET.NS,38520
0,JUBLPHARMA.NS,381672
0,VAIBHAVGBL.NS,177885
0,EPL.NS,108810
0,MAHLIFE.NS,422065
0,KALYANKJIL.NS,2775180
0,GMDCLTD.NS,127976
0,SWSOLAR.NS,1080300
0,BBTC.NS,197470
0,GAEL.NS,1410
0,JUSTDIAL.NS,653256
0,GARFIBRES.NS,0
0,PRSMJOHNSN.NS,2029615
0,FINCABLES.NS,1076220
0,RAYMOND.NS,909588
0,JINDWORLD.NS,22374
0,GLS.NS,104877
0,AVANTIFEED.NS,42183
0,JKLAKSHMI.NS,150600
0,SHARDACROP.NS,407166
0,EDELWEISS.NS,21306
0,OLECTRA.NS,226495
0,GOCOLORS.NS,160925
0,KALPATPOWR.NS,309603
0,GPIL.NS,835533
0,JYOTHYLAB.NS,38110
0,MTARTECH.NS,811300
0,SCI.NS,298265
0,CCL.NS,195468
0,NAZARA.NS,430416
0,HEG.NS,522240
0,VARROC.NS,471156
0,GODFRYPHLP.NS,1161888
0,GHCL.NS,205842
0,INFIBEAM.NS,1587488
0,JBMA.NS,244032
0,SHOPERSTOP.NS,119035
0,JKPAPER.NS,989919
0,CAPLIPOINT.NS,14742
0,TATVA.NS,13979
0,GESHIP.NS,3518134
0,BHARATRAS.NS,153323
0,INGERRAND.NS,50856
0,LEMONTREE.NS,825132
0,ROSSARI.NS,53641
0,CRAFTSMAN.NS,674000
0,RBA.NS,3977622
0,HIKAL.NS,771505
0,MINDACORP.NS,119025
0,RCF.NS,3772002
0,BARBEQUE.NS,468704
0,TEJASNET.NS,206121
0,JINDALPOLY.NS,93009
0,RESPONIND.NS,107026
0,MAZDOCK.NS,8578200
0,JCHAC.NS,87780
0,KRBL.NS,329625
0,SWANENERGY.NS,815028
0,SUPRAJIT.NS,289000
0,VSTIND.NS,3011
0,TCNSBRANDS.NS,3832
0,JPPOWER.NS,340249
0,ESABINDIA.NS,43901
0,TCI.NS,133551
0,RALLIS.NS,250510
0,IBREALEST.NS,2132550
0,MHRIL.NS,1350649
0,KSB.NS,26820
0,RPOWER.NS,12669272
0,JSWHL.NS,128736
0,PDSL.NS,521084
0,VIJAYA.NS,73146
0,GREAVESCOT.NS,768600
0,GLOBUSSPR.NS,520030
0,UFLEX.NS,46458
0,GREENLAM.NS,628
0,MOIL.NS,4770
0,WELCORP.NS,349539
0,VRLLOG.NS,638556
0,NEOGEN.NS,36163
0,FDC.NS,34176
0,PCBL.NS,428340
0,HEIDELBERG.NS,32016
0,HGS.NS,207200
0,IFBIND.NS,0
0,MAHSCOOTER.NS,0
0,TINPLATE.NS,134400
0,RELIGARE.NS,252651
0,NOCIL.NS,216736
0,THYROCARE.NS,195858
0,USHAMART.NS,1026935
0,ICRA.NS,277611
0,SARDAEN.NS,79624
0,CMSINFO.NS,185100
0,TATACOFFEE.NS,252000
0,MFL.NS,215901
0,SHAREINDIA.NS,1977725
0,AARTIDRUGS.NS,511488
0,SUPRIYA.NS,186900
0,JAMNAAUTO.NS,5304
0,DALMIASUG.NS,37744
0,NESCO.NS,0
0,MANINFRA.NS,517347
0,COCHINSHIP.NS,140790
0,MAITHANALL.NS,25825
0,LAOPALA.NS,31992
0,WOCKPHARMA.NS,912015
0,BOROLTD.NS,135090
